,Pincode,Districtname
0,244712,UDHAM SINGH NAGAR
1,244712,UDHAM SINGH NAGAR
2,244712,UDHAM SINGH NAGAR
3,244712,UDHAM SINGH NAGAR
4,244712,UDHAM SINGH NAGAR
5,244712,UDHAM SINGH NAGAR
6,244712,UDHAM SINGH NAGAR
7,244712,UDHAM SINGH NAGAR
8,244712,UDHAM SINGH NAGAR
9,244712,UDHAM SINGH NAGAR
10,244712,UDHAM SINGH NAGAR
11,244712,UDHAM SINGH NAGAR
12,244712,UDHAM SINGH NAGAR
13,244712,UDHAM SINGH NAGAR
14,244712,UDHAM SINGH NAGAR
15,244712,UDHAM SINGH NAGAR
16,244712,UDHAM SINGH NAGAR
17,244712,NAINITAL
18,244712,UDHAM SINGH NAGAR
19,244712,UDHAM SINGH NAGAR
20,244712,UDHAM SINGH NAGAR
21,244712,UDHAM SINGH NAGAR
22,244712,UDHAM SINGH NAGAR
23,244712,UDHAM SINGH NAGAR
24,244712,UDHAM SINGH NAGAR
25,244712,UDHAM SINGH NAGAR
26,244712,UDHAM SINGH NAGAR
27,244712,UDHAM SINGH NAGAR
28,244712,UDHAM SINGH NAGAR
29,244712,UDHAM SINGH NAGAR
30,244712,UDHAM SINGH NAGAR
31,244712,UDHAM SINGH NAGAR
32,244712,UDHAM SINGH NAGAR
33,244712,UDHAM SINGH NAGAR
34,244712,UDHAM SINGH NAGAR
35,244712,UDHAM SINGH NAGAR
36,244712,UDHAM SINGH NAGAR
37,244712,UDHAM SINGH NAGAR
38,244712,UDHAM SINGH NAGAR
39,244712,UDHAM SINGH NAGAR
40,244712,UDHAM SINGH NAGAR
41,244712,UDHAM SINGH NAGAR
42,244712,UDHAM SINGH NAGAR
43,244712,UDHAM SINGH NAGAR
44,244712,UDHAM SINGH NAGAR
45,244712,UDHAM SINGH NAGAR
46,244712,UDHAM SINGH NAGAR
47,244712,UDHAM SINGH NAGAR
48,244712,UDHAM SINGH NAGAR
49,244712,UDHAM SINGH NAGAR
50,244712,UDHAM SINGH NAGAR
